Informe de palabras clave de búsqueda,,,,,,,,,,,,,,,,
7 de abril de 2026 - 23 de abril de 2026,,,,,,,,,,,,,,,,
Estado de las palabras clave,Palabra clave,Tipo de concordancia,Campaña,Grupo de anuncios,Estado,Motivos del estado,URL final,Impr.,CTR,Código de moneda,Coste,Clics,Tasa de conv.,Conversiones,CPC medio,Coste/conv.
Habilitado,[asesoría fiscal pymes],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal para empresas],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoría fiscal y contable],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,16,"12,5%",EUR,"2,8",2,0%,0,"1,4",0
Habilitado,"""gestoría para pymes España""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesor fiscal para pymes],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""departamento fiscal externo""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[asesoria contable],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Limitado,baja calidad,,3,0%,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal estratégica empresa""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría integral pymes""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Apto,,,89,"7,87%",EUR,"7,71",7,0%,0,"1,1",0
Habilitado,[asesoria de empresas],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,Limitado,baja calidad,,4,0%,EUR,0,0,0%,0,0,0
Habilitado,"""asesoría fiscal empresas pequeñas""",Concordancia de frase,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
Habilitado,[contratar asesoría fiscal empresa],Concordancia exacta,TF | Search | Asesoría Fiscal,G2 | Asesoría PYMES Empresas,No apto,no suele publicarse,,0,--,EUR,0,0,0%,0,0,0
